Rank,Country (or dependent territory),Population,Fraction of world population,Date,Source
1, China[b],1402277000,0.18,2020-04-19,National population clock[3]
2, India[c],1361221411,0.175,2020-04-19,National population clock[4]
3, United States[d],329544257,0.0424,2020-04-19,National population clock[5]
4, Indonesia,266911900,0.0343,2019-07-01,National annual projection[6]
5, Pakistan[e],219335520,0.0282,2020-04-19,2017 census[7]
6, Brazil,211411734,0.0272,2020-04-19,National population clock[8]
7, Nigeria,206139587,0.0265,2020-07-01,UN projection[2]
8, Bangladesh,168467562,0.0217,2020-04-19,National population clock[9]
9, Russia[f],146745098,0.0189,2020-01-01,National estimate[10]
10, Mexico,126577691,0.0163,2019-07-01,National annual projection[11]
11, Japan,125950000,0.0162,2020-03-01,Monthly provisional estimate[12]
12, Philippines,108514703,0.0139,2020-04-19,National population clock[13]
13, Egypt,100272524,0.0129,2020-04-19,National population clock[14]
14, Ethiopia,98665000,0.0127,2019-07-01,National annual projection[15]
15, Vietnam,96208984,0.0124,2019-04-01,Preliminary 2019 census result[16]
16, DR Congo,89561404,0.0115,2020-07-01,UN projection[2]
17, Iran,83377443,0.0107,2020-04-19,National population clock[17]
18, Turkey,83154997,0.0107,2019-12-31,National annual estimate[18]
19, Germany,83149300,0.0107,2019-09-30,National estimate[19]
20, France[g],67076000,0.00862,2020-03-01,Monthly national estimate[20]
21, Thailand,66495192,0.00855,2020-04-19,National population clock[21]
22, United Kingdom[h],66435550,0.00854,2018-06-30,National annual estimate[22]
23, Italy,60238522,0.00774,2019-11-30,Monthly national estimate[23]
24, South Africa,58775022,0.00755,2019-07-01,National annual estimate[24]
25, Tanzania[i],55890747,0.00718,2019-07-01,National annual projection[25]
26, Myanmar,54339766,0.00698,2019-07-01,National annual projection[26]
27, South Korea,51780579,0.00666,2020-07-01,National annual projection[27]
28, Colombia,49395678,0.00635,2019-06-30,National annual projection[28]
29, Kenya,47564296,0.00611,2019-08-31,2019 census result[29]
30, Spain,47100396,0.00605,2019-07-01,National estimate[30]
31, Argentina,44938712,0.00578,2019-07-01,National annual projection[31]
32, Algeria,43000000,0.00553,2019-01-01,National annual projection[32]
33, Sudan,42437935,0.00545,2020-04-19,National population clock[33]
34, Ukraine[j],41879904,0.00538,2020-02-01,Monthly national estimate[34]
35, Uganda,40299300,0.00518,2019-07-01,National annual projection[35]
36, Iraq,39127900,0.00503,2019-07-01,National annual projection[36]
37, Poland,38379000,0.00493,2020-01-31,National estimate[37]
38, Canada,37998978,0.00488,2020-04-19,National population clock[38]
39, Morocco[k],35873096,0.00461,2020-04-19,National population clock[39]
40, Saudi Arabia,34218169,0.0044,2019-07-01,National estimate
41, Uzbekistan,34135343,0.00439,2020-04-19,National population clock[40]
42, Malaysia,32754760,0.00421,2020-04-19,National population clock[41]
43, Afghanistan,32225560,0.00414,2019-07-01,National annual estimate[42]
44, Venezuela,32219521,0.00414,2019-06-30,National annual projection
45, Peru,32131400,0.00413,2019-06-30,National annual projection[43]
46, Angola,31127674,0.004,1905-07-12,National projection[44]
47, Ghana,30280811,0.00389,2019-07-01,National projection[45]
48, Mozambique,30066648,0.00386,1905-07-12,National projection[46]
49, Nepal,29996478,0.00386,2020-07-01,National annual projection[47]
50, Yemen,29825968,0.00383,2020-07-01,UN projection[2]
51, Cameroon,26545864,0.00341,2020-07-01,UN projection[2]
52, Madagascar,26251309,0.00337,1905-07-12,Official Projection[48]
53, Ivory Coast,25823071,0.00332,2019-07-01,National projection[49]
54, Australia,25682823,0.0033,2020-04-19,National population clock[50]
55, North Korea,25450000,0.00327,2019-07-01,National annual projection[51]
–, Taiwan[l],23604265,0.00303,2020-01-31,Monthly national estimate[52]
56, Niger,22314743,0.00287,2019-07-01,National annual projection[53]
57, Sri Lanka,21803000,0.0028,2019-07-01,National estimate[54]
58, Burkina Faso,20870060,0.00268,2019-07-01,National annual projection[55]
59, Mali,20250833,0.0026,2020-07-01,UN Projection[56]
60, Romania,19405156,0.00249,2019-01-01,National annual estimate[57]
61, Malawi,19129952,0.00246,2020-07-01,UN projection[58]
62, Chile,19107216,0.00246,2019-07-01,National annual projection[59]
63, Kazakhstan,18684944,0.0024,2020-04-19,National population clock[60]
64, Zambia,17885422,0.0023,2020-07-01,National annual projection[61]
65, Syria,17500657,0.00225,2020-07-01,UN projection[2]
66, Ecuador,17468216,0.00225,2020-04-19,National population clock[62]
67, Netherlands[m],17456981,0.00224,2020-04-19,National population clock[63]
68, Guatemala,16604026,0.00213,2019-07-01,National annual projection[64]
69, Chad,16244513,0.00209,1905-07-12,National annual projection[65]
70, Senegal,16209125,0.00208,2019-07-01,National annual projection[66]
71, Somalia[n],15893219,0.00204,2020-07-01,UN projection[2]
72, Cambodia,15288489,0.00197,2019-03-03,Provisional 2019 census result[67]
73, Zimbabwe,15159624,0.00195,2019-07-01,National annual projection[68]
74, South Sudan,12778250,0.00164,2019-07-01,National annual projection[69]
75, Rwanda,12374397,0.00159,2019-07-01,National projection annual[70]
76, Guinea,12218357,0.00157,2019-07-01,National projection[71]
77, Benin,11733059,0.00151,2019-07-01,National projection annual[72]
78, Tunisia,11722038,0.00151,2019-07-01,National estimate[73]
79, Haiti,11577779,0.00149,2019-07-01,National annual projection[74]
80, Belgium,11524454,0.00148,2020-01-01,Monthly national estimate[75]
